COD_WMO,UF,ESTACAO,LAT,LON,ALT,SOLAR_IRRAD_kwh_m2_dia,WIND_SPEED_ms,anos_disponiveis,dias_validos_total
A316,RN,CAICO,-6.46749999,-37.08499999,171.26,5.1249,2.568,4,1458
A344,RN,CALCANHAR,-5.16,-35.48749999,9.82,5.664,8.0581,4,306
A372,RN,IPANGUACU,-5.53499999,-36.87222221,19.0,3.9705,2.4549,4,1214
A317,RN,MACAU,-5.15111111,-36.57305554,17.37,5.1619,4.4468,4,1158
A318,RN,MOSSORO,-4.90416666,-37.36694443,29.44,4.8561,3.1962,4,967
A304,RN,NATAL,-5.83722221,-35.20805555,47.46,5.334,3.8306,4,1105
A367,RN,SANTA CRUZ,-6.22805554,-36.02666666,227.49,4.8768,2.3965,4,822
A409,SE,ARACAJU,-10.9525,-37.05444444,3.72,4.4717,2.3107,4,1067
A421,SE,BREJO GRANDE,-10.47388888,-36.48194443,6.11,6.7985,1.9147,4,863
A417,SE,ITABAIANINHA,-11.2725,-37.795,204.8,4.6534,2.6577,4,1346
A453,SE,NOSSA SENHORA DA GLORIA,-10.20777777,-37.43194443,271.0,5.6647,3.0808,4,885
